Text,Label
leichter Druckschmerz in der Leiste beidseits.,1
Die Bauchdecke links ist nicht schmerzhaft.,0
Die Tibiakopf rechts ist unauffällig.,0
Die Condylus rechts zeigt keine Auffälligkeiten.,0
Druckschmerz in der Condylus links.,1
starker Druckschmerz in der Condylus rechts.,1
unauffällig in der Leiste links.,0
kein Druckschmerz in der Lendenregion beidseits.,0
leichter Druckschmerz in der Oberschenkel beidseits.,1
unauffällig in der Lendenregion links.,0
Die Oberschenkel links ist ohne Druckschmerz.,0
Druckschmerz in der Bauchdecke rechts.,1
Die Condylus links scheint in Ordnung zu sein.,0
starker Druckschmerz in der Lendenregion links.,1
leichter Druckschmerz in der Condylus rechts.,1
Die Condylus links ist unauffällig.,0
Die Patella beidseits ist ohne Druckschmerz.,0
leichter Druckschmerz in der Patella beidseits.,1
kein Druckschmerz in der Condylus rechts.,0
leichter Druckschmerz in der Lendenregion beidseits.,1
Die Oberschenkel beidseits zeigt keine Auffälligkeiten.,0
kein Druckschmerz in der Leiste beidseits.,0
Druckschmerz in der Condylus rechts.,1
leichter Druckschmerz in der Tibiakopf links.,1
Die Condylus links scheint in Ordnung zu sein.,0
starker Druckschmerz in der Tibiakopf links.,1
Die Patella links zeigt keine Auffälligkeiten.,0
Die Bauchdecke rechts ist unauffällig.,0
leichter Druckschmerz in der Tibiakopf beidseits.,1
starker Druckschmerz in der Oberschenkel links.,1
Die Bauchdecke beidseits ist unauffällig.,0
Druckschmerz in der Lendenregion beidseits.,1
unauffällig in der Lendenregion beidseits.,0
unauffällig in der Condylus rechts.,0
starker Druckschmerz in der Lendenregion beidseits.,1
Druckschmerz in der Lendenregion beidseits.,1
leichter Druckschmerz in der Tibiakopf beidseits.,1
Die Oberschenkel rechts scheint in Ordnung zu sein.,0
starker Druckschmerz in der Tibiakopf rechts.,1
starker Druckschmerz in der Condylus beidseits.,1
Druckschmerz in der Lendenregion rechts.,1
Die Oberschenkel rechts ist nicht schmerzhaft.,0
leichter Druckschmerz in der Leiste rechts.,1
kein Druckschmerz in der Condylus beidseits.,0
Druckschmerz in der Leiste beidseits.,1
leichter Druckschmerz in der Condylus links.,1
kein Druckschmerz in der Oberschenkel beidseits.,0
Die Tibiakopf links ist nicht schmerzhaft.,0
starker Druckschmerz in der Patella links.,1
