Text,Label
unauffällig in der Tibiakopf beidseits.,0
Die Vastus medialis links ist nicht schmerzhaft.,0
Die Bauchdecke links ist unauffällig.,0
Die Lendenregion rechts zeigt keine Auffälligkeiten.,0
starker Druckschmerz in der Oberschenkel links.,1
leichter Druckschmerz in der Tibiakopf rechts.,1
leichter Druckschmerz in der Lendenregion beidseits.,1
Die Oberschenkel rechts ist ohne Druckschmerz.,0
"Tibiakopf links, empfindlich.",1
Die Patella beidseits scheint in Ordnung zu sein.,0
starker Druckschmerz in der Condylus links.,1
Die Oberschenkel links ist nicht schmerzhaft.,0
Die Bauchdecke links ist ohne Druckschmerz.,0
"Leiste rechts, auffällig.",1
Die Tibiakopf beidseits ist unauffällig.,0
"Oberschenkel beidseits, stärker.",1
kein Druckschmerz in der Leiste links.,0
Die Leiste links ist unauffällig.,0
"Oberschenkel beidseits, empfindlich.",1
unauffällig in der Lendenregion links.,0
kein Druckschmerz in der Leiste beidseits.,0
unauffällig in der Bauchdecke beidseits.,0
"Condylus beidseits, auffällig.",1
Druckschmerz in der Condylus beidseits.,1
unauffällig in der Vastus medialis rechts.,0
Druckschmerz in der Leiste beidseits.,1
starker Druckschmerz in der Oberschenkel beidseits.,1
leichter Druckschmerz in der Bauchdecke links.,1
"Lendenregion rechts, empfindlich.",1
leichter Druckschmerz in der Oberschenkel links.,1
starker Druckschmerz in der Patella rechts.,1
leichter Druckschmerz in der Vastus medialis links.,1
Druckschmerz in der Condylus beidseits.,1
Die Bauchdecke links zeigt keine Auffälligkeiten.,0
starker Druckschmerz in der Bauchdecke rechts.,1
"Lendenregion links, empfindlich.",1
Die Vastus medialis links scheint in Ordnung zu sein.,0
"Bauchdecke links, auffällig.",1
leichter Druckschmerz in der Lendenregion rechts.,1
leichter Druckschmerz in der Leiste rechts.,1
Die Oberschenkel rechts ist ohne Druckschmerz.,0
Die Patella links ist ohne Druckschmerz.,0
Die Oberschenkel links ist ohne Druckschmerz.,0
kein Druckschmerz in der Condylus beidseits.,0
leichter Druckschmerz in der Oberschenkel beidseits.,1
starker Druckschmerz in der Vastus medialis rechts.,1
Druckschmerz in der Leiste rechts.,1
"Patella links, empfindlich.",1
Druckschmerz in der Leiste links.,1
Druckschmerz in der Oberschenkel links.,1
kein Druckschmerz in der Condylus beidseits.,0
kein Druckschmerz in der Vastus medialis rechts.,0
"Leiste links, druckempfindlich.",1
unauffällig in der Leiste rechts.,0
leichter Druckschmerz in der Tibiakopf beidseits.,1
starker Druckschmerz in der Patella links.,1
leichter Druckschmerz in der Patella rechts.,1
starker Druckschmerz in der Oberschenkel rechts.,1
Druckschmerz in der Vastus medialis links.,1
Druckschmerz in der Condylus links.,1
Die Condylus rechts ist ohne Druckschmerz.,0
kein Druckschmerz in der Tibiakopf links.,0
Die Bauchdecke links zeigt keine Auffälligkeiten.,0
unauffällig in der Leiste beidseits.,0
starker Druckschmerz in der Leiste beidseits.,1
Druckschmerz in der Leiste links.,1
Die Lendenregion rechts ist ohne Druckschmerz.,0
kein Druckschmerz in der Condylus beidseits.,0
unauffällig in der Vastus medialis beidseits.,0
"Lendenregion links, empfindlich.",1
Die Lendenregion links ist ohne Druckschmerz.,0
Die Vastus medialis links zeigt keine Auffälligkeiten.,0
Die Bauchdecke rechts scheint in Ordnung zu sein.,0
unauffällig in der Patella links.,0
Druckschmerz in der Lendenregion rechts.,1
"Leiste rechts, empfindlich.",1
Die Bauchdecke beidseits zeigt keine Auffälligkeiten.,0
leichter Druckschmerz in der Vastus medialis rechts.,1
Die Leiste rechts ist unauffällig.,0
Die Vastus medialis rechts ist nicht schmerzhaft.,0
leichter Druckschmerz in der Lendenregion beidseits.,1
leichter Druckschmerz in der Lendenregion rechts.,1
unauffällig in der Condylus links.,0
Die Tibiakopf beidseits ist ohne Druckschmerz.,0
leichter Druckschmerz in der Lendenregion beidseits.,1
Die Condylus beidseits scheint in Ordnung zu sein.,0
kein Druckschmerz in der Leiste links.,0
kein Druckschmerz in der Bauchdecke beidseits.,0
kein Druckschmerz in der Bauchdecke links.,0
"Leiste links, empfindlich.",1
unauffällig in der Vastus medialis beidseits.,0
kein Druckschmerz in der Leiste links.,0
"Bauchdecke links, auffällig.",1
starker Druckschmerz in der Oberschenkel links.,1
kein Druckschmerz in der Patella beidseits.,0
"Leiste rechts, auffällig.",1
Die Tibiakopf beidseits ist nicht schmerzhaft.,0
"Bauchdecke beidseits, auffällig.",1
Druckschmerz in der Tibiakopf beidseits.,1
kein Druckschmerz in der Oberschenkel rechts.,0
